# The French verse number a printed Ostervald shows, by the KJV
# address the text sits at here. Generated by
# data-prep/ostervald/build-ostervald.py; read by NumberingSpec (Fr).
# osis	chapter	verse	printedRef
Ps	56	12	56:13
Ps	56	13	56:14
Ps	57	1	57:2
Ps	57	2	57:3
Ps	57	3	57:4
Ps	57	4	57:5
Ps	57	5	57:6
Ps	57	6	57:7
Ps	57	7	57:8
Ps	57	8	57:9
Ps	57	9	57:10
Ps	57	10	57:11
Ps	57	11	57:12
Ps	58	1	58:2
Ps	58	2	58:3
Ps	58	3	58:4
Ps	58	4	58:5
Ps	58	5	58:6
Ps	58	6	58:7
Ps	58	7	58:8
Ps	58	8	58:9
Ps	58	9	58:10
Ps	58	10	58:11
Ps	58	11	58:12
Ps	59	1	59:2
Ps	59	2	59:3
Ps	59	3	59:4
Ps	59	4	59:5
Ps	59	5	59:6
Ps	59	6	59:7
Ps	59	7	59:8
Ps	59	8	59:9
Ps	59	9	59:10
Ps	59	10	59:11
Ps	59	11	59:12
Ps	59	12	59:13
Ps	59	13	59:14
Ps	59	14	59:15
Ps	59	15	59:16
Ps	59	16	59:17
Ps	59	17	59:18
Ps	60	1	60:3
Ps	60	2	60:4
Ps	60	3	60:5
Ps	60	4	60:6
Ps	60	5	60:7
Ps	60	6	60:8
Ps	60	7	60:9
Ps	60	8	60:10
Ps	60	9	60:11
Ps	60	10	60:12
Ps	60	11	60:13
Ps	60	12	60:14
Ps	61	1	61:2
Ps	61	2	61:3
Ps	61	3	61:4
Ps	61	4	61:5
Ps	61	5	61:6
Ps	61	6	61:7
Ps	61	7	61:8
Ps	61	8	61:9
Ps	62	1	62:2
Ps	62	2	62:3
Ps	62	3	62:4
Ps	62	4	62:5
Ps	62	5	62:6
Ps	62	6	62:7
Ps	62	7	62:8
Ps	62	8	62:9
Ps	62	9	62:10
Ps	62	10	62:11
Ps	62	11	62:12
Ps	62	12	62:13
Ps	63	1	63:2
Ps	63	2	63:3
Ps	63	3	63:4
Ps	63	4	63:5
Ps	63	5	63:6
Ps	63	6	63:7
Ps	63	7	63:8
Ps	63	8	63:9
Ps	63	9	63:10
Ps	63	10	63:11
Ps	63	11	63:12
Ps	64	1	64:2
Ps	64	2	64:3
Ps	64	3	64:4
Ps	64	4	64:5
Ps	64	5	64:6
Ps	64	6	64:7
Ps	64	7	64:8
Ps	64	8	64:9
Ps	64	9	64:10
Ps	64	10	64:11
Ps	65	1	65:2
Ps	65	2	65:3
Ps	65	3	65:4
Ps	65	4	65:5
Ps	65	5	65:6
Ps	65	6	65:7
Ps	65	7	65:8
Ps	65	8	65:9
Ps	65	9	65:10
Ps	65	10	65:11
Ps	65	11	65:12
Ps	65	12	65:13
Ps	65	13	65:14
Ps	67	1	67:2
Ps	67	2	67:3
Ps	67	3	67:4
Ps	67	4	67:5
Ps	67	5	67:6
Ps	67	6	67:7
Ps	67	7	67:8
Ps	68	1	68:2
Ps	68	2	68:3
Ps	68	3	68:4
Ps	68	4	68:5
Ps	68	5	68:6
Ps	68	6	68:7
Ps	68	7	68:8
Ps	68	8	68:9
Ps	68	9	68:10
Ps	68	10	68:11
Ps	68	11	68:12
